               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038718,            0.026957,            0.030222,             0.26411,             0.34921,             0.26476,            0.089581,            0.013792,           0.0046839,            0.013317,            0.070203,           0.0033108,           0.0033108
                   1,            0.025405,            0.013777,            0.025199,             0.25207,             0.36127,             0.32101,             0.11455,            0.015094,           0.0039559,           0.0093714,            0.039983,           0.0064249,           0.0064249
                   2,            0.024131,            0.011308,             0.02148,             0.38575,             0.57612,             0.44571,             0.16347,            0.014459,           0.0049097,           0.0070648,           0.0095442,            0.009319,            0.009319
                   3,            0.022121,            0.010235,            0.020306,              0.3715,             0.55331,             0.44862,             0.19297,            0.011573,           0.0042631,           0.0073586,             0.00901,             0.00901,             0.00901
                   4,            0.019819,           0.0096768,            0.019372,             0.44249,             0.60338,             0.52691,             0.28049,             0.01016,           0.0032357,           0.0058683,             0.00901,             0.00901,             0.00901
                   5,             0.01733,           0.0089063,            0.019306,             0.47369,             0.68914,             0.57099,             0.25038,            0.010781,           0.0029236,           0.0058765,             0.00868,             0.00868,             0.00868
                   6,             0.01416,           0.0085282,            0.018075,              0.4787,             0.76488,             0.61767,             0.31582,           0.0099294,           0.0031734,            0.005537,             0.00835,             0.00835,             0.00835
                   7,            0.013787,           0.0082691,            0.017503,             0.48014,             0.71305,             0.58018,             0.35721,           0.0093479,           0.0028357,           0.0066255,             0.00802,             0.00802,             0.00802
                   8,            0.013469,           0.0078576,            0.017421,             0.49723,             0.78952,             0.62195,             0.35293,           0.0099864,           0.0031868,           0.0052713,             0.00769,             0.00769,             0.00769
                   9,            0.012505,           0.0074718,            0.015517,             0.54565,             0.82213,             0.65301,             0.41603,           0.0084165,            0.002994,           0.0053488,             0.00736,             0.00736,             0.00736
                  10,            0.011495,           0.0073205,            0.016109,             0.54399,             0.82176,             0.66797,             0.44015,           0.0073404,           0.0029262,           0.0049063,             0.00703,             0.00703,             0.00703
                  11,            0.010804,           0.0073223,            0.017459,             0.49929,             0.79275,             0.62698,             0.39077,           0.0075402,           0.0029173,           0.0052357,              0.0067,              0.0067,              0.0067
                  12,            0.010165,             0.00711,            0.014943,             0.55216,             0.72174,             0.60776,             0.35705,           0.0085251,           0.0029795,           0.0053088,             0.00637,             0.00637,             0.00637
                  13,           0.0098141,           0.0069728,            0.013851,             0.52363,             0.78437,             0.62834,             0.40586,            0.007183,           0.0027909,           0.0050888,             0.00604,             0.00604,             0.00604
                  14,            0.010168,           0.0069163,            0.014438,              0.5682,             0.78241,             0.69078,             0.41855,           0.0076957,           0.0034408,           0.0046574,             0.00571,             0.00571,             0.00571
                  15,            0.009049,           0.0067443,            0.015048,             0.53788,             0.77768,             0.65928,             0.44538,           0.0067462,           0.0029728,           0.0052455,             0.00538,             0.00538,             0.00538
                  16,           0.0088045,           0.0065686,            0.014853,              0.6173,             0.77872,             0.72732,             0.50372,           0.0065071,           0.0030485,           0.0042248,             0.00505,             0.00505,             0.00505
                  17,            0.008672,           0.0064481,              0.0133,             0.56996,             0.77592,             0.70396,               0.456,           0.0069688,           0.0031799,           0.0042264,             0.00472,             0.00472,             0.00472
                  18,           0.0084527,           0.0063941,            0.013214,             0.54751,             0.78604,             0.66513,             0.44923,           0.0060841,           0.0027382,           0.0051104,             0.00439,             0.00439,             0.00439
                  19,           0.0077459,           0.0061639,            0.013226,             0.52873,             0.82361,             0.69688,             0.43675,           0.0073919,            0.003241,           0.0042864,             0.00406,             0.00406,             0.00406
                  20,           0.0074808,           0.0060854,            0.012119,             0.56431,             0.81185,             0.69374,             0.46712,           0.0064156,           0.0030566,           0.0044689,             0.00373,             0.00373,             0.00373
                  21,           0.0078351,           0.0060053,            0.012787,             0.54867,             0.86263,             0.67668,             0.44419,           0.0070569,           0.0032202,           0.0043739,              0.0034,              0.0034,              0.0034
                  22,           0.0075663,           0.0059854,            0.012764,             0.61455,             0.79715,             0.71944,             0.47083,           0.0065401,           0.0029995,           0.0044432,             0.00307,             0.00307,             0.00307
                  23,           0.0069323,            0.005933,             0.01234,             0.59633,             0.77955,             0.71766,             0.45424,           0.0068028,            0.003139,           0.0046708,             0.00274,             0.00274,             0.00274
                  24,           0.0067343,            0.005848,            0.011229,             0.60017,             0.77634,             0.71674,             0.45736,            0.007042,           0.0032524,           0.0047283,             0.00241,             0.00241,             0.00241
                  25,           0.0061348,           0.0057055,            0.010655,              0.6149,              0.8333,             0.73636,             0.50047,           0.0065391,           0.0033024,           0.0042178,             0.00208,             0.00208,             0.00208
                  26,           0.0055974,           0.0055918,            0.010853,             0.60349,             0.83524,             0.73842,             0.51413,           0.0060652,           0.0029775,           0.0039091,             0.00175,             0.00175,             0.00175
                  27,           0.0054815,            0.005577,            0.010404,             0.65859,             0.85761,             0.76998,             0.52388,           0.0061843,           0.0030851,             0.00374,             0.00142,             0.00142,             0.00142
                  28,           0.0052592,           0.0053953,           0.0099065,             0.61322,              0.8327,             0.75603,             0.51313,           0.0066774,           0.0032621,           0.0038071,             0.00109,             0.00109,             0.00109
                  29,           0.0051313,           0.0054631,            0.010717,             0.61875,             0.85231,             0.75582,              0.5169,           0.0064722,            0.003064,            0.003583,             0.00076,             0.00076,             0.00076
